Titles of the Movies,User ratings,Genres,Cast of the movies
Avatar: The Way of Water,77.0,"Science Fiction, Adventure, Action","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco']"
Extraction 2,75.0,"Action, Thriller","['Chris Hemsworth', 'Golshifteh Farahani', 'Adam Bessa', 'Tornike Gogrichiani', 'Tornike Bziava', 'Tinatin Dalakishvili', 'Andro Japaridze', 'Justin Howell', 'Idris Elba']"
Puss in Boots: The Last Wish,83.0,"Animation, Family, Fantasy, Adventure, Comedy, Action","['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney']"
The Outwaters,48.0,"Horror, Science Fiction, Thriller","['Robbie Banfitch', 'Angela Basolis', 'Scott Schamell', 'Michelle May', 'Leslie Ann Banfitch', 'Christine Brown', 'Melissa Andrea', 'Nancy Bujnowski', 'Aro Caitlin']"
The Meg,62.0,"Action, Science Fiction, Horror","['Jason Statham', 'Li Bingbing', 'Rainn Wilson', 'Cliff Curtis', 'Ruby Rose', 'Jessica McNamee', 'Masi Oka', 'Winston Chao', 'Shuya Sophia Cai']"
San Andreas,62.0,"Action, Drama, Thriller","['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino', 'Ioan Gruffudd', 'Archie Panjabi', 'Paul Giamatti', 'Hugo Johnstone-Burt', 'Art Parkinson', 'Will Yun Lee']"
The Pope's Exorcist,72.0,"Horror, Thriller","['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero', 'Peter DeSouza-Feighoney', 'Laurel Marsden', 'Cornell John', ""Ryan O'Grady"", 'Bianca Bardoe']"
Astonishing Tales of Terror: Rocktapussy!,65.0,"Horror, Comedy, Fantasy","['Brigitte Kingsley', 'Landy Cannon', 'Patrick Kwok-Choon', 'Troy Blundell', 'Alys Crocker', 'Andrew Cymek', 'Sara Mitich', 'David Calderisi', 'Winny Clarke']"
Mission: Impossible - Dead Reckoning Part One,77.0,"Action, Adventure, Thriller","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']"
La Leyenda de los Chaneques,85.0,"Animation, Comedy, Family, Horror","['Benny Emmanuel', 'Emilio Treviño', 'Jorge Rafael', 'Mayté Cordero', 'Annie Rojas', 'Eduardo España', 'Andrés Couturier', 'Alejandro Villeli', 'Gabriel Basurto']"
The Gates,73.0,Horror,"['John Rhys-Davies', 'Michael Yare', 'Elena Delia', 'Richard Brake', 'David Pearse', 'Peter Coonan', 'Brian Fortune']"
Hypnotic,65.0,"Mystery, Thriller, Science Fiction","['Ben Affleck', 'Alice Braga', 'J. D. Pardo', 'Dayo Okeniyi', 'Jeff Fahey', 'Jackie Earle Haley', 'William Fichtner', 'Zane Holtz', 'Ruben Javier Caballero']"
Guy Ritchie's The Covenant,78.0,"War, Action, Thriller","['Jake Gyllenhaal', 'Dar Salim', 'Antony Starr', 'Alexander Ludwig', 'Jonny Lee Miller', 'Emily Beecham', 'Jason Wong', 'Bobby Schofield', 'Sina Parvaneh']"
One Piece Film Red,74.0,"Animation, Adventure, Action, Fantasy","['Kaori Nazuka', 'Shuichi Ikeda', 'Mayumi Tanaka', 'Kazuya Nakai', 'Akemi Okamura', 'Kappei Yamaguchi', 'Hiroaki Hirata', 'Ikue Otani', 'Yuriko Yamaguchi']"
Divine Intervention,83.0,Comedy,"['Adrián Uribe', 'Guillermo Villegas', 'Ana Serradilla', 'Giovanna Romo', 'Jorge Perugorría']"
The Darkest Minds,70.0,"Action, Adventure, Drama","['Amandla Stenberg', 'Harris Dickinson', 'Patrick Gibson', 'Skylan Brooks', 'Mandy Moore', 'Miya Cech', 'Gwendoline Christie', 'Grace DeAmicis', 'Faye Foley']"
War of the Worlds: The Attack,54.0,"Science Fiction, Mystery, Thriller","['Sam Gittins', 'Vincent Regan', 'Lara Lemon', 'Alhaji Fofana', 'Leo Staar', 'Kathi deCouto', 'Stefan Boehm', 'Frances Mather', ""Fredi 'Kruga' Nwaka""]"
Strays,74.0,Comedy,"['Will Ferrell', 'Jamie Foxx', 'Will Forte', 'Isla Fisher', 'Randall Park', 'Josh Gad', 'Harvey Guillén', 'Brett Gelman', 'Rob Riggle']"
Los Habitantes,70.0,"Thriller, Horror","['Angélica Aragón', 'Jorge Luis Moreno', 'Estefanía Hinojosa', 'Paulina Cantu Felix', 'Gari Garibaldi', 'Jessica Rosanna Mendiolea Dávila', 'Brenda Caballero', 'Sergio Zurita', 'Isabella Dávila']"
The Resurrection of Charles Manson,39.0,"Horror, Thriller","['Frank Grillo', 'Will Peltz', 'Sarah Dumont', 'Sydelle Noel', 'Jaime King', 'Katherine Hughes', 'Josh Plasse', 'Vince Hill-Bedford', 'Tobias Jelinek']"
The Conjuring: The Devil Made Me Do It,75.0,"Horror, Mystery, Thriller","['Patrick Wilson', 'Vera Farmiga', ""Ruairí O'Connor"", 'Sarah Catherine Hook', 'Julian Hilliard', 'John Noble', 'Eugenie Bondurant', 'Shannon Kook', 'Ronnie Gene Blevins']"
Evil Dead Rise,70.0,"Thriller, Horror","['Lily Sullivan', 'Alyssa Sutherland', 'Morgan Davies', 'Gabrielle Echols', 'Nell Fisher', 'Anna-Maree Thomas', 'Mirabai Pease', 'Richard Crouchley', 'Jayden Daniels']"
Fresh,70.0,"Horror, Thriller, Comedy","['Daisy Edgar-Jones', 'Sebastian Stan', 'Jojo T. Gibbs', 'Andrea Bang', 'Dayo Okeniyi', 'Charlotte Le Bon', 'Brett Dier', 'Alina Maris', 'William Belleau']"
Shadow Master,69.0,"Action, Fantasy, Thriller","['D.Y. Sao', 'Layton Matthews', 'Brian Le', 'Craig Ng', 'Anna Harr', 'Luciana Faulhaber', 'Dominique Swain', 'Pearry Reginald Teo', 'Camilo González']"
Ant-Man and the Wasp: Quantumania,65.0,"Action, Adventure, Science Fiction","['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors', 'Kathryn Newton', 'Michelle Pfeiffer', 'Michael Douglas', 'Corey Stoll', 'Bill Murray', 'William Jackson Harper']"
The Black Demon,64.0,"Horror, Thriller","['Josh Lucas', 'Fernanda Urrejola', 'Julio Cedillo', 'Venus Ariel', 'Carlos Solórzano', 'Jorge A. Jimenez', 'Raúl Méndez', 'Héctor Jiménez', 'Edgar Flores']"
Shazam! Fury of the Gods,67.0,"Comedy, Action, Fantasy","['Zachary Levi', 'Asher Angel', 'Jack Dylan Grazer', 'Rachel Zegler', 'Adam Brody', 'Ross Butler', 'D.J. Cotrona', 'Grace Caroline Currey', 'Meagan Good']"
Jericho Ridge,68.0,"Action, Thriller","['Nikki Amuka-Bird', 'Simon Kunz', 'Michael Socha', 'Olivia Chenery', 'Aidan Kelly', 'Philipp Christopher', 'Zack Morris', 'Zachary Hart']"
Sisu,75.0,"Action, War","['Jorma Tommila', 'Aksel Hennie', 'Jack Doolan', 'Mimosa Willamo', 'Onni Tommila', 'Tatu Sinisalo', 'Arttu Kapulainen', 'Elina Saarela', 'Ilkka Koivula']"
Mr. Car and the Knights Templar,63.0,Adventure,"['Mateusz Janicki', 'Sandra Drzymalska', 'Olgierd Blecharz', 'Piotr Sega', 'Kalina Kowalczuk', 'Jacek Beler', 'Maria Dębska', 'Anna Dymna', 'Przemysław Bluszcz']"
Mortal Kombat Legends: Scorpion's Revenge,82.0,"Animation, Action, Fantasy","['Patrick Seitz', 'Jordan Rodrigues', 'Jennifer Carpenter', 'Joel McHale', 'Ike Amadi', 'Steve Blum', 'Artt Butler', 'Darin De Paul', 'Robin Atkin Downes']"
Coraline,78.0,"Animation, Family, Fantasy","['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders', 'Dawn French', 'Keith David', 'Ian McShane', 'John Hodgman', 'Robert Bailey Jr.', 'Aankha Neal']"
Timescape,77.0,"Science Fiction, Family, Adventure","['Lola Rossignol-Arts', 'Sofian Oleniuk', 'Patricia Summersett', 'Michel Perron', 'Eric Davis', 'Melissa Carter', 'Nathaniel Amranian']"
Creed III,72.0,"Drama, Action","['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Phylicia Rashād', 'Mila Davis-Kent', 'Wood Harris', 'José Benavidez Jr.', 'Florian Munteanu', 'Selenis Leyva']"
The Out-Laws,62.0,"Romance, Action, Comedy","['Adam Devine', 'Nina Dobrev', 'Pierce Brosnan', 'Ellen Barkin', 'Julie Hagerty', 'Richard Kind', 'Michael Rooker', 'Poorna Jagannathan', 'Lil Rel Howery']"
Bite Night,65.0,"Horror, Mystery","['Maria Lee Metheringham', 'Dani Thompson', 'Rachel Brownstein', 'Marcella Edgecombe-Craig', 'Kian Pollard', 'Will Metheringham']"
Insidious: The Last Key,63.0,"Horror, Mystery, Thriller","['Lin Shaye', 'Leigh Whannell', 'Angus Sampson', 'Kirk Acevedo', 'Caitlin Gerard', 'Spencer Locke', 'Josh Stewart', 'Tessa Ferrer', 'Aleque Reid']"
Spider-Man: No Way Home,80.0,"Action, Adventure, Science Fiction","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong']"
A Good Day to Die Hard,53.0,"Action, Thriller","['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Mary Elizabeth Winstead', 'Yuliya Snigir', 'Cole Hauser', 'Radivoje Bukvić', 'Amaury Nolasco', 'Sergey Kolesnikov']"
Encanto,76.0,"Animation, Comedy, Family, Fantasy","['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Diane Guerrero', 'Jessica Darrow', 'Carolina Gaitán', 'Angie Cepeda', 'Ravi Cabot-Conyers', 'Mauro Castillo']"
Confidential Informant,65.0,"Mystery, Thriller, Action","['Dominic Purcell', 'Kate Bosworth', 'Mel Gibson', 'Arielle Raycene', 'Nick Stahl', 'Erik Valdez', 'Jon Lindstrom', 'Camila Savia']"
Undryable Daughter-in-Law,50.0,Drama,"['Ah Reum', 'Seung Ha', 'Hae Il']"
Indiana Jones and the Dial of Destiny,66.0,"Adventure, Action, Fantasy","['Harrison Ford', 'Phoebe Waller-Bridge', 'Mads Mikkelsen', 'Boyd Holbrook', 'Olivier Richters', 'Ethann Isidore', 'Toby Jones', 'Antonio Banderas', 'Karen Allen']"
Quicksand,0.0,"Thriller, Horror","['Carolina Gaitán', 'Allan Hawco', 'Sebastián Eslava', 'Andrés Castañeda', 'Allison Castrillón', 'Juan Manuel Combariza', 'Juan Camilo Pérez']"
Scream VI,72.0,"Horror, Thriller, Mystery","['Melissa Barrera', 'Jenna Ortega', 'Jasmin Savoy Brown', 'Mason Gooding', 'Jack Champion', 'Roger L. Jackson', 'Liana Liberato', 'Dermot Mulroney', 'Devyn Nekoda']"
Megalodon,56.0,"Action, Science Fiction, Horror, TV Movie","['Michael Madsen', 'Scott C. Roe', 'Ego Mikitas', 'Paulina Nguyen', 'Dominic Pace', 'Aimee Stolte', 'Daniel Joo', 'Caroline Harris', 'Luke Fattorusso']"
Zoey 102,71.0,"Romance, Comedy","['Jamie Lynn Spears', 'Sean Flynn', 'Erin Sanders', 'Christopher Massey', 'Matthew Underwood', 'Abby Wilde', 'Dean Geyer', 'Owen Thiele', 'Jack Salvatore, Jr.']"
M3GAN,72.0,"Science Fiction, Horror","['Allison Williams', 'Violet McGraw', 'Ronny Chieng', 'Amie Donald', 'Jenna Davis', 'Brian Jordan Alvarez', 'Jen Van Epps', 'Stephane Garneau-Monten', 'Lori Dungey']"
Mortal Kombat Legends: Battle of the Realms,77.0,"Animation, Action, Fantasy","['Jordan Rodrigues', 'Jennifer Carpenter', 'Joel McHale', 'Patrick Seitz', 'Dave B. Mitchell', 'Bayardo De Murguia', 'Fred Tatasciore', 'Matthew Mercer', ""Emily O'Brien""]"
Eradication,66.0,"Horror, Thriller","['Anita Abdinezhad', 'Christian Masters', 'Harry Aspinwall', 'Ross Cowan', 'Claudia Minor Troyer', 'Stefan Sirucek']"
The Last Voyage of the Demeter,76.0,"Horror, Fantasy","['Corey Hawkins', 'Aisling Franciosi', 'Liam Cunningham', 'David Dastmalchian', 'Chris Walley', 'Jon Jon Briones', 'Stefan Kapičić', 'Martin Furulund', 'Nikolai Nikolaeff']"
Black Panther: Wakanda Forever,72.0,"Action, Adventure, Science Fiction","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke', 'Dominique Thorne', 'Tenoch Huerta Mejía', 'Angela Bassett', 'Florence Kasumba', 'Michaela Coel']"
GANTZ:O,73.0,"Science Fiction, Action, Animation","['Yuki Kaji', 'Daisuke Ono', 'Saori Hayami', 'Mao Ichimichi', 'Masaya Onosaka', 'Kenjiro Tsuda', 'Shuichi Ikeda', 'Teruaki Ogawa', 'Tomohiro Kaku']"
Black Adam,70.0,"Action, Adventure, Science Fiction","['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Mo Amer', 'Bodhi Sabongui', 'Pierce Brosnan']"
Chinese Grandma,39.0,"Comedy, Drama","['Nina Ruslanova', 'Irina Muravyova', 'Aleksandr Mikhaylov', 'Kira Krejlis-Petrova', 'Vladimir Tolokonnikov']"
Bird Box Barcelona,61.0,"Thriller, Drama, Science Fiction, Horror","['Mario Casas', 'Georgina Campbell', 'Diego Calva', 'Naila Schuberth', 'Alejandra Howard', 'Patrick Criado', 'Celia Freijeiro', 'Lola Dueñas', 'Gonzalo de Castro']"
